"Volcano.Number","Volcano.Name","Country","Region","Subregion","Primary.Volcano.Type","Major.Rock.1","Major.Rock.2","Population.within.30.km","Elevation","avg.VEI","Latitude","Longitude","eruption_count"
211010,"Campi Flegrei","Italy","Mediterranean and W Asia","Italy","Caldera","Trachyte / Trachyandesite","Phonolite",3006865,458,3,40.827,14.139,1
211020,"Vesuvius","Italy","Mediterranean and W Asia","Italy","Stratovolcano","Phono-tephrite /  Tephri-phonolite","Phonolite",3907941,1281,3.18181818181818,40.821,14.426,22
211040,"Stromboli","Italy","Mediterranean and W Asia","Italy","Stratovolcano","Trachyandesite / Basaltic trachy-andesite","Andesite / Basaltic Andesite",3894,924,2,38.789,15.213,2
211050,"Vulcano","Italy","Mediterranean and W Asia","Italy","Stratovolcano(es)","Trachybasalt / Tephrite Basanite","Trachyandesite / Basaltic trachy-andesite",86766,500,3,38.404,14.962,1
211060,"Etna","Italy","Mediterranean and W Asia","Italy","Stratovolcano(es)","Trachybasalt / Tephrite Basanite","Trachyandesite / Basaltic trachy-andesite",1016540,3330,NA,37.734,15.004,96
211070,"Campi Flegrei Mar Sicilia","Italy","Mediterranean and W Asia","Italy","Submarine","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",230578,-8,2.5,37.1,12.7,2
211071,"Pantelleria","Italy","Mediterranean and W Asia","Italy","Shield","Rhyolite","Trachyte / Trachyandesite",12403,836,1,36.77,12.02,1
212040,"Santorini","Greece","Mediterranean and W Asia","Greece","Shield(s)","Dacite","Andesite / Basaltic Andesite",12336,367,2.57142857142857,36.404,25.396,7
221020,"Zubair Group","Yemen","Africa and Red Sea","Africa (northeastern) and Red Sea","Shield","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",7,191,NA,15.05,42.18,1
221101,"Nabro","Eritrea","Africa and Red Sea","Africa (northeastern) and Red Sea","Stratovolcano","Trachyte / Trachyandesite","Rhyolite",2713,2218,4,13.37,41.7,1
221113,"Dabbahu","Ethiopia","Africa and Red Sea","Africa (northeastern) and Red Sea","Stratovolcano","Basalt / Picro-Basalt","Rhyolite",36494,1401,3,12.595,40.48,1
221115,"Manda Hararo","Ethiopia","Africa and Red Sea","Africa (northeastern) and Red Sea","Shield(s)","Basalt / Picro-Basalt",NA,7455,600,2,12.17,40.82,2
221126,"Ardouk?ba","Djibouti","Africa and Red Sea","Africa (northeastern) and Red Sea","Fissure vent(s)","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",6898,298,1,11.58,42.47,1
222120,"Lengai, Ol Doinyo","Tanzania","Africa and Red Sea","Africa (eastern)","Stratovolcano","Foidite","Phonolite",18074,2962,2.33333333333333,-2.764,35.914,3
222160,"Meru","Tanzania","Africa and Red Sea","Africa (eastern)","Stratovolcano","Phonolite","Foidite",828942,4565,2,-3.25,36.75,1
223020,"Nyamuragira","DR Congo","Africa and Red Sea","Africa (central)","Shield","Trachybasalt / Tephrite Basanite","Phono-tephrite /  Tephri-phonolite",711356,3058,2,-1.408,29.2,28
223030,"Nyiragongo","DR Congo","Africa and Red Sea","Africa (central)","Stratovolcano","Foidite",NA,1006436,3470,1.25,-1.52,29.25,4
223050,"Visoke","DR Congo-Rwanda","Africa and Red Sea","Africa (central)","Stratovolcano","Trachyandesite / Basaltic trachy-andesite",NA,1162209,3696,1,-1.458,29.485,1
224010,"Cameroon","Cameroon","Africa and Red Sea","Africa (western)","Stratovolcano","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",417460,4095,1.85714285714286,4.203,9.17,7
231070,"Rahat, Harrat","Saudi Arabia","Middle East and Indian Ocean","Middle East (southern)","Volcanic field","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",1010115,1744,3,23.08,39.78,1
233010,"Karthala","Comoros","Middle East and Indian Ocean","Indian Ocean (western)","Shield","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",278330,2361,1.81818181818182,-11.75,43.38,11
233020,"Fournaise, Piton de la","France","Middle East and Indian Ocean","Indian Ocean (western)","Shield","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",246792,2632,NA,-21.244,55.708,105
234010,"Heard","Australia","Middle East and Indian Ocean","Indian Ocean (southern)","Stratovolcano","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",0,2745,1,-53.106,73.513,6
234070,"Marion Island","South Africa","Middle East and Indian Ocean","Indian Ocean (southern)","Shield(s)","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",0,1230,1,-46.9,37.75,1
241040,"White Island","New Zealand","New Zealand to Fiji","New Zealand","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",5,321,2,-37.52,177.18,11
241050,"Okataina","New Zealand","New Zealand to Fiji","New Zealand","Lava dome(s)","Rhyolite",NA,79591,1111,1,-38.12,176.5,12
241080,"Tongariro","New Zealand","New Zealand to Fiji","New Zealand","Stratovolcano(es)","Andesite / Basaltic Andesite",NA,7591,1978,2.07692307692308,-39.157,175.632,13
241100,"Ruapehu","New Zealand","New Zealand to Fiji","New Zealand","Stratovolcano","Andesite / Basaltic Andesite",NA,6901,2797,1.25641025641026,-39.28,175.57,39
241130,"Rumble III","New Zealand","New Zealand to Fiji","New Zealand","Submarine","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",0,-220,0,-35.745,178.478,2
242030,"Raoul Island","New Zealand","New Zealand to Fiji","Kermadec Islands","Stratovolcano","Andesite / Basaltic Andesite","Dacite",0,516,2,-29.27,-177.92,3
242050,"Monowai Seamount","New Zealand","New Zealand to Fiji","Tonga Islands","Submarine","Basalt / Picro-Basalt",NA,0,-132,0,-25.887,-177.188,13
243040,"Hunga Tonga-Hunga Ha'apai","Tonga","New Zealand to Fiji","Tonga Islands","Submarine","Andesite / Basaltic Andesite",NA,532,114,1,-20.536,-175.382,2
243060,"Tofua","Tonga","New Zealand to Fiji","Tonga Islands","Caldera","Andesite / Basaltic Andesite","Dacite",1556,515,1,-19.75,-175.07,1
243070,"Metis Shoal","Tonga","New Zealand to Fiji","Tonga Islands","Submarine","Dacite",NA,18,43,2,-19.18,-174.87,3
243080,"Home Reef","Tonga","New Zealand to Fiji","Tonga Islands","Submarine","Dacite",NA,142,-10,2.5,-18.992,-174.775,2
243091,"Unnamed","Tonga","New Zealand to Fiji","Tonga Islands","Submarine","Dacite",NA,20,-40,2,-18.325,-174.365,1
243100,"Fonualei","Tonga","New Zealand to Fiji","Tonga Islands","Stratovolcano","Dacite","Andesite / Basaltic Andesite",91,180,4,-18.02,-174.325,1
243102,"Curacoa","Tonga","New Zealand to Fiji","Tonga Islands","Submarine","Dacite",NA,37,-33,3,-15.62,-173.67,1
243110,"Niuafo'ou","Tonga","New Zealand to Fiji","Tonga Islands","Shield","Basalt / Picro-Basalt",NA,155,260,1.66666666666667,-15.6,-175.63,6
244000,"Vailulu'u","United States","New Zealand to Fiji","Samoan and Wallis Islands","Submarine","Basalt / Picro-Basalt",NA,0,-592,0,-14.215,-169.058,2
244010,"Ofu-Olosega","United States","New Zealand to Fiji","Samoan and Wallis Islands","Shield(s)","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",1387,639,2,-14.175,-169.618,1
244040,"Savai'i","Samoa","New Zealand to Fiji","Samoan and Wallis Islands","Shield","Basalt / Picro-Basalt",NA,34215,1858,1,-13.612,-172.525,1
250010,"St. Andrew Strait","Papua New Guinea","Melanesia and Australia","Admiralty Islands","Complex","Rhyolite",NA,2870,270,2,-2.38,147.35,1
251010,"Bam","Papua New Guinea","Melanesia and Australia","Northeast of New Guinea","Stratovolcano","Andesite / Basaltic Andesite",NA,462,685,1.85714285714286,-3.613,144.818,7
251020,"Manam","Papua New Guinea","Melanesia and Australia","Northeast of New Guinea","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",24364,1807,2.3,-4.08,145.037,10
251030,"Karkar","Papua New Guinea","Melanesia and Australia","Northeast of New Guinea","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",20127,1839,1.75,-4.649,145.964,4
251050,"Long Island","Papua New Guinea","Melanesia and Australia","Northeast of New Guinea","Complex","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",4017,1280,2.25,-5.358,147.12,4
251070,"Ritter Island","Papua New Guinea","Melanesia and Australia","Northeast of New Guinea","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",4323,140,1.33333333333333,-5.52,148.121,6
252010,"Langila","Papua New Guinea","Melanesia and Australia","New Britain","Complex","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",11641,1330,2,-5.525,148.42,16
252070,"Garbuna Group","Papua New Guinea","Melanesia and Australia","New Britain","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",58235,564,1.66666666666667,-5.416,150.027,3
252080,"Pago","Papua New Guinea","Melanesia and Australia","New Britain","Caldera","Dacite","Andesite / Basaltic Andesite",37824,724,2,-5.576,150.516,3
252120,"Ulawun","Papua New Guinea","Melanesia and Australia","New Britain","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",10577,2334,2,-5.05,151.33,26
252130,"Lolobau","Papua New Guinea","Melanesia and Australia","New Britain","Caldera","Basalt / Picro-Basalt","Dacite",9659,858,4,-4.92,151.158,1
252140,"Rabaul","Papua New Guinea","Melanesia and Australia","New Britain","Pyroclastic shield","Dacite","Andesite / Basaltic Andesite",199361,688,2.38461538461538,-4.271,152.203,13
253040,"Waiowa","Papua New Guinea","Melanesia and Australia","New Guinea and D'Entrecasteaux Islands","Pyroclastic cone","Trachyandesite / Basaltic trachy-andesite",NA,10041,640,3,-9.57,149.075,1
255020,"Bagana","Papua New Guinea","Melanesia and Australia","Bougainville and Solomon Islands","Lava cone","Andesite / Basaltic Andesite",NA,7861,1855,2.66666666666667,-6.137,155.196,3
